"","PRISM.7662","PRISM.7847","PRISM.7855","PRISM.7858","PRISM.7860","PRISM.7861","PRISM.7862","PRISM.7870","PRISM.7874","PRISM.7879","PRISM.7899","PRISM.7904","PRISM.7906","PRISM.7908","PRISM.7909","PRISM.7910","PRISM.7911","PRISM.7912","PRISM.7955","PRISM.8244","PRISM.8283","PRISM.8332","PRISM.8589","PRISM.8683","PRISM.8754","PRISM.8764","PRISM.8765","PRISM.8774","PRISM.8776","PRISM.8784","PRISM.8788","PRISM.8789","PRISM.9126","PRISM.9148","Validation.LLDeep_0001","Validation.LLDeep_0003","Validation.LLDeep_0010","Validation.LLDeep_0011","Validation.LLDeep_0012","Validation.LLDeep_0015","Validation.LLDeep_0018","Validation.LLDeep_0021","Validation.LLDeep_0022","Validation.LLDeep_0024","Validation.LLDeep_0026","Validation.LLDeep_0027","Validation.LLDeep_0028","Validation.LLDeep_0029","Validation.LLDeep_0030","Validation.LLDeep_0033","Validation.LLDeep_0034","Validation.LLDeep_0037","Validation.LLDeep_0039","Validation.LLDeep_0043","Validation.LLDeep_0047","Validation.LLDeep_0052"
"Monoglobus",0.00163756175071355,0.0000231697927787454,0.00241508860910642,0.0000244975206041772,0.00000513257822433061,0.0000332057909798344,0.00110862454996219,0.0000112569865500209,0.00773872038055132,0.0000161016398268644,0.00177735249017198,0.0047355693350761,0.0000233405756527462,0.0000403668113336985,0.00127257357053446,0.0000271190414624546,0.0276925320108509,0.00278145007732368,0.0000213615903215456,0.00247800651045655,0.00159297916026134,0.00203807308156662,0.0000299490321588482,0.00000786790108789468,0.000035841175981917,0.0000486259119313108,0.0000160487944622538,0.0000249500417674884,0.0000168490199312017,0.00182533396347282,0.00000670215979579346,0.00000763340867894646,0.00140442952436254,0.00000948885082049132,0.0000187683383432717,0.0000138907015932924,0.0000117736057293429,0.000392463894442455,0.0000183243789709608,0.0000181987675478116,0.0000231557691175776,0.000029467083726383,0.0000290936056314395,0.0000180934127234009,0.0000172434680594769,0.00000511109672818358,0.0000215058664988968,0.0000227315760576053,0.0000332317094468059,0.0000571936418774694,0.00000988340674841009,0.0000195991069787722,0.0000234288798835716,0.00000820324260799118,0.000024861586181961,0.000350509790738752
"Sutterella",0.00106279982746436,0.0000533314331375938,0.0000597037755431045,0.000110926183224958,0.0000251364728422345,0.0000163104092481259,0.0000836520621462839,0.0000446624596237842,0.000168452788588114,0.000062688054824776,0.0000554190098300889,0.0000568730413670239,0.0000561184959737507,0.00227548004855881,0.000783063414381373,0.000572987134593175,0.0000832697622512337,0.0000519489815770885,0.0000419568455642913,0.000156804340482776,0.000075674865693429,0.0000341121633902437,0.000721556694351854,0.0000290754708384472,0.00638745222191651,0.0000383963113714873,0.000515278864281936,0.0000278479579788931,0.00860101939056328,0.0000352298767306205,0.0000222303137059715,0.00136054077177702,0.0000423378760802522,0.00235239421923193,0.000479971857228223,0.0000455788646029907,0.000414570979436194,0.00255720996724618,0.000264504492504288,0.000579682482024609,0.000146523842572679,0.000381039875772194,0.00192394757506247,0.000163232158535874,0.0000296926073827908,0.00117497855295151,0.0000866666320964887,0.000111576234128905,0.000030930120821693,0.00127943474577363,0.000117652473262639,0.000226597894384708,0.0000230110809281719,0.000164297568262178,0.000229216677529784,0.000312744881831197
"Marvinbryantia",0.000816732643023176,0.000265615826686677,0.000490783938534412,0.000231475133536161,0.000201793673777101,0.000333055804035044,0.00037042080966433,0.000515628461843165,0.00128821115900645,0.000334772144984993,0.000455017479382992,0.000525573357143768,0.000489815040683803,0.000590165675376903,0.000275613285957736,0.00076519473215402,0.000490951720701662,0.00111410080868668,0.000528994718769874,0.00037889903830583,0.000212024104298772,0.000279553624326699,0.000721853219422733,0.000345472384132103,0.000621288778392613,0.000392528134301944,0.000659427906082455,0.00034403857899255,0.000392552983926305,0.000297740397117413,0.000413588119011383,0.000127586973633819,0.000301679697175215,0.000210035913098302,0.000930303802605976,0.000269855817411358,0.000380650739881396,0.000262335419369271,0.00059918456966033,0.00182991955292628,0.00131147032018995,0.000671646287694454,0.0011994104726928,0.00325742320314036,0.000735989893716178,0.000444196028917751,0.000561765391256229,0.000569122059903781,0.00380186099995627,0.000488820478780099,0.00100286628778943,0.000240693142554373,0.000578715829991049,0.000372636658894918,0.00173372552017573,0.000505867045931029
"Alloprevotella",0.000372173125162171,0.000366105040311348,0.000319667246756846,0.000805633569682122,0.000245047709069323,0.0000736033024931252,0.0003726563003684,0.000171157363681,0.00021931949509249,0.000403474965499155,0.00192970462937919,0.000282124285368212,0.000149986370620535,0.000385618795366093,0.000344534802145213,0.000167982243149103,0.0000697766620007277,0.000403333859487477,0.00313070231129534,0.000446668082150207,0.000618461319063834,0.000410457296595844,0.000326807693743273,0.00327122293003927,0.000486022523954679,0.0345787636619771,0.0298003368668648,0.00156900555577565,0.0146632729851298,0.000403307630516927,0.000874561906711811,0.000841222742619013,0.000177077720103587,0.000275256748484717,0.00675795398933742,0.000215016485079505,0.00013493690135154,0.000360838558815524,0.000263961547942186,0.000386556430421912,0.00064486876564874,0.000374231963325064,0.000430701351141842,0.000327638649147546,0.000105475232195585,0.000152237666832325,0.0002684414513638,0.000167364351193358,0.000191395264614654,0.000573424023184346,0.000107269904557239,0.000301772551289588,0.000085938031287614,0.00032923510580583,0.000400312377917551,0.000132752453086322
"Eubacterium",0.0000414767047554089,0.0000390130218698298,0.000267446134375477,0.000550154390776976,0.0000800594466615671,0.0000194417325425974,0.0000137259129229873,0.0000438583891559256,0.00000919891118342174,0.0000105351796547001,0.000183938969297334,0.00000931141506076954,0.00000716227050716037,0.0000207259703353129,0.000118192758488345,0.0000224075253670623,0.0000645425626592216,0.00000567014120683679,0.0000120378468628142,0.000154555974406048,0.00000708988353615427,0.000010937885037681,0.0000101930493114892,0.00000718840053939469,0.00000654809233414927,0.00000480206101230372,0.0000285930799385346,0.00000918944482827006,0.00000721946460169517,0.000010077335903258,0.00000516333373262266,0.0000105882765546677,0.0000127728191550128,0.00000328306230919953,0.00000876216372221907,0.0000179421562246694,0.000013042879209458,0.0000193582917819487,0.000104788300485791,0.0000177118440013819,0.0000060800064163472,0.00111714117534171,0.0000148851005556202,0.0000108734451462746,0.00000564038674842703,0.0000408887738254687,0.0000299072236919238,0.0000121568135692688,0.0000431245026600106,0.00000921048687678119,0.0000127785460989545,0.0000240290421178097,0.0000222718981609261,0.0000253660551566252,0.00000638131062165324,0.0000166152063383594
"Catenibacterium",0.00505122023906782,0.0000457073440209922,0.000119998287651609,0.000133908029892474,0.000172138777369857,0.0000997550135238756,0.00011114859780634,0.000437304688542208,0.0000905710978573263,0.000242495926023612,0.0000854348547199682,0.0000992573663531824,0.000346864547561479,0.000392635965078223,0.000250249876885576,0.000124762430148064,0.000434328282370823,0.000121662220576752,0.0114166364895621,0.0000668038915772949,0.000276881211849171,0.000130283663812464,0.000368358269300289,0.000228347947482762,0.000211936712032781,0.000100651602352425,0.000149881582989494,0.000139888007994385,0.000273453433161813,0.0000885234800651579,0.000518113833170067,0.000802703929239075,0.000374163212869571,0.000500867188879099,0.00017562188645707,0.000145707671921307,0.0000824590081564389,0.0000640657572236281,0.000108000722478231,0.0000754122842533064,0.000125653465937842,0.0000631002034278754,0.0000650498225580026,0.000357083938603657,0.000238225763167493,0.000256806533567102,0.000209069180674322,0.000172776631207073,0.000198946090454936,0.0000960929146319852,0.000283399201081305,0.0000763157008043286,0.000158506496002435,0.00040556598737806,0.0000812723720773757,0.000125172399685523
"Romboutsia",0.0003811574169891,0.00000182234325226088,0.0000812459689613619,0.00115025552500161,0.0000811561514103557,0.000078351902653972,0.0000511033174950307,0.000104236771560583,0.000722678097556089,0.0000161016398268644,0.0000488342420758504,0.00120314300826707,0.00286136919861355,0.00128710807750746,0.000401775322188984,0.00139698307155977,0.000871273614412398,0.000312087194054913,0.000761896721468459,0.0000243810623832419,0.00145670902774845,0.00184432628799007,0.00175920911426145,0.00000239613351313156,0.000404402478919019,0.0000121463896193565,0.0000824604001798811,0.00000339361240546073,0.00000198859503998789,0.0000191244988042598,0.0000316667512173163,0.000337804716792271,0.000766815751369126,0.00000652608727316492,0.00112036703297559,0.00309314091624804,0.000315217503578914,0.000250190638419754,0.000151888741248186,0.00168365989266744,0.000222804206760752,0.00441403366136746,0.013501172829936,0.00173131342997042,0.00710297932077093,0.000684834807528353,0.0000467903338405904,0.0000139886621892956,0.000139347058688854,0.000507146499060704,0.0000622205379388545,0.00631990655790147,0.00322630781035938,0.0111030016013777,0.000475841570435439,0.00195646592598491
"Cronobacter",0,0,0.00000366256670548068,0,0,0.000000894663798420409,0.00000125187479427897,0,0.000000472671325630366,0.000000560381896526604,0,0.000000502275501203336,0,0,0.000000473062149122071,0.00000118715366183112,0.0000393577080354811,0.000000393304592381742,0.00000156460078588301,0.000000186449869777379,0.000000346089154484518,0.00000107624109461674,0,0.0000032902131822105,0.000000365922806908341,0.000000363181084964147,0.000000742677401000899,0.000000521116511699962,0.000000183728889564099,0.00000276412756050902,0.000000381527123100197,0.00000154778793490159,0.000000759223516207055,0,0,0.0000109968054280232,0.00000179449009257643,0.00000138564614860264,0.000000769171462978601,0.00000085211620625205,0.000000474326741700845,0.000000914495701853266,0,0,0.000000483461721293745,0,0.0000126623326115,0,0,0.00000319676692286907,0,0,0.00000334239164319815,0,0.000000638131062165324,0.000000642950958103522
"Fournierella",0.000188064968812404,0.000112613374853999,0.000181474272890914,0.0000906232021199132,0.0000675570125253772,0.000889192585191607,0.000129256072509303,0.000218926459203328,0.000183178318348137,0.000166694934820114,0.000403876897332307,0.000147437177891687,0.000256788463183191,0.0000628289886080952,0.000385472872742315,0.000124947922907725,0.000082488046115814,0.000215006510502019,0.0000657770942636531,0.000215930884481002,0.00410142346370357,0.00014288270358314,0.000170613112657399,0.00007531727132321,0.000120677489899351,0.000134215587621195,0.000251477530579539,0.000106396739498546,0.0000361513609171712,0.0000850249717505653,0.0000975692029474903,0.000126004008700397,0.0000450621486972305,0.0000933270517407817,0.0000909209704756189,0.000131672275519751,0.000109507663698201,0.000119613866063199,0.0000858304861923768,0.000255817458205526,0.000140141991866159,0.000196582705687272,0.0000511312869735266,0.000161100963287204,0.000114822158807264,0.000104308096493543,0.000253729026805676,0.000184350583851788,0.0000801114356530534,0.0006770815644952,0.000136720460019673,0.000190285850290476,0.0000967365273656388,0.0000812179197216715,0.000131991028898276,0.000130349846874461
"Veillonella",0.000283121569385407,0.00064894015119796,0.000434270140444468,0.00105614274800426,0.000424205396831427,0.0000793842070367648,0.000419378056083454,0.000090750316895136,0.000244371075350899,0.000105052926202187,0.000442081920393701,0.000293985714512014,0.00163514635678471,0.000810483101751059,0.000281290031747201,0.000555068534009912,0.000195123144932381,0.00117342425137093,0.000575070615382714,0.0000400099485263457,0.000851329878724131,0.000865824262346401,0.00142142999289563,0.0456269597779306,0.000504511255251101,0.000241343919322147,0.00026040126372594,0.00136659627653609,0.0000967062414011502,0.000812633103324261,0.000382493658478717,0.000342377726599935,0.00102740805825549,0.00105342259045547,0.000131973330137127,0.000479663289393379,0.000300861582838302,0.000366666423499352,0.00021572997267541,0.000302501253219478,0.0000901652015360425,0.00015343205664427,0.000328922059680361,0.000191503115916188,0.0000771524330231268,0.000263012865308467,0.000273184801357949,0.000181436279229018,0.000178877852793864,0.000320816133962385,0.0000913216800313953,0.000131891250730436,0.000145169067810827,0.00014812379914855,0.00022163568051126,0.000344418676398824
"Bacteroides",0.0718222908938663,0.199698026565897,0.082982498169012,0.0339029470975514,0.154933980348191,0.0431431314802047,0.0549633840035618,0.0139944810065032,0.043405480551302,0.0348266514641285,0.179736450185797,0.100139864408797,0.019542507864805,0.0521758398557444,0.0685033292476532,0.0431755915271359,0.0147900352944835,0.0968164156421956,0.0161005403524433,0.228990491418573,0.147216744592265,0.0499221918632547,0.00307752251375867,0.00134923774701365,0.0625382299056211,0.131198026958226,0.0154539446770553,0.0918222672907507,0.0136150780550032,0.106373277475517,0.041926435237316,0.0293239680906632,0.172049248775127,0.221345742454732,0.0202212889856789,0.105780586529087,0.0980887980225244,0.113484949376437,0.0332966634608807,0.0340142877976229,0.0197971045802068,0.130790870447154,0.064414886028458,0.00621817532890975,0.00290032715451795,0.0355387072482184,0.0347153324728575,0.0140120598921241,0.0105613441406783,0.0755019691609478,0.0033178546538217,0.0347850588758516,0.00520114705739054,0.00134067746566347,0.0303461439845746,0.0231968922593205
