"","Validation.UMCG8089650","rownames"
"Monoglobus",0.000959108067507612,"Monoglobus"
"Marvinbryantia",0.000320377576887013,"Marvinbryantia"
"Alloprevotella",0.000463891140723871,"Alloprevotella"
"Eubacterium",0.000159893738760882,"Eubacterium"
"Veillonella",0.00646856831036444,"Veillonella"
"Desulfovibrio",0.000230535784129634,"Desulfovibrio"
"Gemmiger",0.00960972490194238,"Gemmiger"
"Flavonifractor",0.00497672725554061,"Flavonifractor"
"Coprococcus",0.00126956765915465,"Coprococcus"
"Rothia",0.000215529050725874,"Rothia"
"Faecalibacterium",0.0401986159740524,"Faecalibacterium"
"Oribacterium",0.000127566736263344,"Oribacterium"
"Butyrivibrio",8.31308430845412e-05,"Butyrivibrio"
"Alistipes",0.0186207248213873,"Alistipes"
"Enterococcus",0.000167495964478209,"Enterococcus"
"Lactobacillus",0.00682128458897052,"Lactobacillus"
"Dorea",0.00207890173334398,"Dorea"
"Akkermansia",0.0127305403026374,"Akkermansia"
"Slackia",1.29959918250129e-05,"Slackia"
"Oscillibacter",1.63455493193252e-05,"Oscillibacter"
"Bilophila",0.00150512971995278,"Bilophila"
"Acidaminococcus",0.0042260786153642,"Acidaminococcus"
"Streptococcus",0.0193936024772391,"Streptococcus"
"Lachnoclostridium",2.19200158932652e-05,"Lachnoclostridium"
"Pseudoflavonifractor",0.00015427005252321,"Pseudoflavonifractor"
"Fusicatenibacter",0.0146754885543044,"Fusicatenibacter"
"Oxalobacter",0.000205862713839293,"Oxalobacter"
"Collinsella",0.0203311448651632,"Collinsella"
"Blautia",0.015376567380745,"Blautia"
"Klebsiella",0.00948975732646548,"Klebsiella"
"Lachnobacterium",5.82604035560215e-06,"Lachnobacterium"
"Agathobacter",0.041545342909103,"Agathobacter"
"Odoribacter",0.00174535151575231,"Odoribacter"
"Prevotella",0.0159917001032177,"Prevotella"
"Pseudobutyrivibrio",3.78725566287964e-05,"Pseudobutyrivibrio"
"Ruminococcus",0.000232520549191696,"Ruminococcus"
"Roseburia",0.0116677931353966,"Roseburia"
"Phascolarctobacterium",0.00179918753201559,"Phascolarctobacterium"
"Barnesiella",0.00137836784966582,"Barnesiella"
"Mitsuokella",1.20816082477948e-05,"Mitsuokella"
