"","LL","UL"
"Monoglobus",0.00000572117131362918,0.00661253873849811
"Sutterella",0.0000225231014142966,0.00495111137641514
"Marvinbryantia",0.000204884513522551,0.00272210933431008
"Alloprevotella",0.0000782288257910585,0.0241239379112142
"Eubacterium",0.00000493753828242332,0.000444138794626414
"Catenibacterium",0.0000634622861012827,0.00345802662288204
"Romboutsia",0.00000214142196741677,0.00960299324615016
"Cronobacter",0,0.0000120377599176962
"Fournierella",0.0000473380755508415,0.000809650952430454
"Veillonella",0.0000779893482782411,0.0015550027203263
"Bacteroides",0.00193089627482776,0.213227848996419
"Yersinia",0,0.0000201827583958558
"Anaerostipes",0.00257193658890506,0.0453566804070877
"Desulfovibrio",0.00000351724674990311,0.0047119145356367
"Gemmiger",0.000657631451760959,0.0777328035664733
"Mannheimia",0,0.000000868578957522448
"Flavonifractor",0.00011470403310519,0.00379058037227158
"Bifidobacterium",0.0000371491119113491,0.118395693932715
"Lactococcus",0.00000283158476091365,0.000887713958496881
"Parasutterella",0.00000581659840891739,0.00724694005528572
"Coprococcus",0.000132085225390347,0.0445007612408435
"Rothia",0.00000318445417669471,0.000409708049949055
"Faecalibacterium",0.00379909428555376,0.12561905486343
"Oribacterium",0.0000353688800579475,0.000308967505733522
"Butyrivibrio",0.0000578730223820362,0.000204278270853306
"Succinivibrio",0.0000154338395429991,0.000317498720099348
"Serratia",0.00000059923626020091,0.00000909873191183855
"Alistipes",0.000608516282057346,0.108677571290434
"Enterococcus",0.00000185369225944108,0.00015635075190813
"Lactobacillus",0.00000270568168865794,0.00306687103496728
"Parabacteroides",0.000211014044324028,0.0566911215614181
"Shewanella",0.00000187539526011137,0.00000752366215920143
"Dorea",0.000157707713774737,0.00709804661553058
"Megamonas",0.00000161825354714954,0.00987126223594995
"Leclercia",0,0.0000293969768536088
"Granulicatella",0.00000247973470714785,0.000092142562683098
"Akkermansia",0.0000104150810434871,0.0833059542142666
"Slackia",0.000000351699128831209,0.0000274263429173547
"Oscillibacter",0.00000357574858215663,0.0000476833309279243
"Bilophila",0.0000128334368837739,0.00505247147945476
"Acidaminococcus",0.0000026965071815284,0.00676866685046221
"Streptococcus",0.000529487164802737,0.0235519902574666
"Lachnoclostridium",0.00000417112781815215,0.0000247148346501529
"Pseudoflavonifractor",0.0000251036742590454,0.00136487134824111
"Clostridium",0.0000455521520073813,0.00638450310566061
"Butyricimonas",0.0000226959372337924,0.0046658556896241
"Paraprevotella",0.0000183152827532682,0.00506096952800818
"Fusicatenibacter",0.00194598637489776,0.0612101664968796
"Oxalobacter",0.0000733623412067586,0.00140455173250123
"Enterobacter",0.00000145236831061959,0.000446299671231167
"Providencia",0,0.0000119596093177155
"Collinsella",0.00114956140068041,0.082728347578803
"Comamonas",0.00000101483388198771,0.00000628234889335882
"Blautia",0.000407671113126533,0.0301067167477153
"Klebsiella",0.00000267273749366589,0.00182288779803444
"Citrobacter",0.000000150106258856042,0.000145409991693588
"Herbaspirillum",0.000000823435155846515,0.0000147531682773968
"Kluyvera",0.000000100092500722859,0.0000442992257580933
"Lachnobacterium",0.00000272669729251157,0.0000213167442740998
"Agathobacter",0.00194667810374005,0.199224642895126
"Odoribacter",0.0000720200959517955,0.00556096227923652
"Prevotella",0.000196049444364711,0.331445842658834
"Pseudobutyrivibrio",0.0000207528053833041,0.0000916036677091757
"Dialister",0.0000637271764582946,0.0292388590129648
"Sphingomonas",0.00000546683941324244,0.0000330407031184739
"Butyricicoccus",0.0000744785308339468,0.000619790422159427
"Ruminococcus",0.0000778593751479517,0.00237948207902478
"Megasphaera",0.0000149985561053024,0.0088345358097137
"Roseburia",0.00144020227799825,0.0487509692366404
"Turicibacter",0.00000173000875440368,0.00169609813732268
"Haemophilus",0,0.0000113091852948074
"Phascolarctobacterium",0.000000747154358750581,0.021153736808134
"Avibacterium",0,0.00000245161921077738
"Barnesiella",0.00000866751241669608,0.0164980897421671
"Atopobium",0,0.0000116176439588279
"Peptococcus",0,0.0000284912844497065
"Mitsuokella",0,0.0000303448700734955
"Allisonella",0,0.000400461786220419
"Selenomonas",0,0.00000314860789026945
"Olsenella",0,0.0000328537265789259
