"","PRISM.7122","PRISM.7147","PRISM.7150","PRISM.7153","PRISM.7184","PRISM.7238","PRISM.7406","PRISM.7408","PRISM.7421","PRISM.7445","PRISM.7486","PRISM.7496","PRISM.7506","PRISM.7547","PRISM.7658","PRISM.7744","PRISM.7759","PRISM.7762","PRISM.7776","PRISM.7791","PRISM.7843","PRISM.7852","PRISM.7875","PRISM.7897","PRISM.7938","PRISM.7941","PRISM.7947","PRISM.7948","PRISM.7971","PRISM.7989","PRISM.8095","PRISM.8096","PRISM.8101","PRISM.8106","PRISM.8129","PRISM.8226","PRISM.8264","PRISM.8275","PRISM.8336","PRISM.8361","PRISM.8374","PRISM.8377","PRISM.8406","PRISM.8441","PRISM.8444","PRISM.8447","PRISM.8452","PRISM.8458","PRISM.8462","PRISM.8464","PRISM.8466","PRISM.8467","PRISM.8475","PRISM.8480","PRISM.8483","PRISM.8485","PRISM.8496","PRISM.8502","PRISM.8503","PRISM.8511","PRISM.8513","PRISM.8515","PRISM.8523","PRISM.8534","PRISM.8537","PRISM.8550","PRISM.8564","PRISM.8565","PRISM.8573","PRISM.8577","PRISM.8591","PRISM.8592","PRISM.8605","PRISM.8624","PRISM.8628","PRISM.8629","PRISM.8667","PRISM.8675","PRISM.8692","PRISM.8696","PRISM.8728","PRISM.8734","PRISM.8735","PRISM.8746","PRISM.8749","PRISM.8753","PRISM.8758","PRISM.8778","PRISM.8783","PRISM.8785","PRISM.8794","PRISM.8795","PRISM.8800","PRISM.8802","PRISM.8803","PRISM.8805","PRISM.8806","PRISM.8807","PRISM.8809","PRISM.8815","PRISM.8841","PRISM.8843","PRISM.8844","PRISM.8846","PRISM.8847","PRISM.8849","PRISM.8878","PRISM.8882","PRISM.8892","PRISM.8894","PRISM.8898","PRISM.8924","PRISM.8932","PRISM.8982","PRISM.8998","PRISM.9010","PRISM.9018","PRISM.9030","PRISM.9033","PRISM.9074","PRISM.9079","Validation.UMCG0333264","Validation.UMCG1180653","Validation.UMCG1576297","Validation.UMCG1705352","Validation.UMCG1708847","Validation.UMCG2023308","Validation.UMCG2136686","Validation.UMCG2739287","Validation.UMCG2788516","Validation.UMCG3243705","Validation.UMCG3299495","Validation.UMCG3321127","Validation.UMCG3595094","Validation.UMCG3748218","Validation.UMCG4000898","Validation.UMCG4081271","Validation.UMCG4268471","Validation.UMCG4722506","Validation.UMCG4789724","Validation.UMCG4851027","Validation.UMCG5113553","Validation.UMCG5308346","Validation.UMCG5437940","Validation.UMCG5613882","Validation.UMCG5792346","Validation.UMCG5921444","Validation.UMCG6047689","Validation.UMCG6054655","Validation.UMCG6262744","Validation.UMCG6628208","Validation.UMCG6720116","Validation.UMCG6738619","Validation.UMCG6868484","Validation.UMCG6966873","Validation.UMCG7115152","Validation.UMCG7198526","Validation.UMCG7563651","Validation.UMCG8089650","Validation.UMCG8255148","Validation.UMCG8438880","Validation.UMCG9119812","Validation.UMCG9189151","Validation.UMCG9830707"
"1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid",210.752,23.7645,359.982,190.391,45.9292,9.97964,37.7002,32.5376,75.2186,82.7138,101.724,192.064,174.756,33.0444,100.998,99.6607,49.2859,18.231,121.54,245.24,65.6484,178.403,11.6805,100.659,8.92318,55.806,83.0106,77.468,47.8845,0,15.1896,24.0793,59.0846,41.5517,64.8042,21.3066,0,232.008,25.8303,310.351,144.208,10.3398,91.3197,50.2509,298.486,94.2471,27.694,96.1905,132.379,218.336,82.5763,37.043,305.677,0,30.802,69.207,136.377,0,113.645,129.78,106.687,26.264,0,24.5652,28.6131,130.071,139.637,0,31.0141,334.732,158.547,51.2666,0,158.061,85.8568,174.778,46.3216,67.3489,180.805,441.572,149.387,58.4181,6.96508,0,50.9968,66.8732,22.0876,56.3939,50.8732,51.7829,74.0934,36.1308,31.3612,19.563,128.904,17.373,33.738,8.82836,0,27.6956,0,0,28.1051,96.756,61.4675,62.2382,22.4909,0,105.397,94.6328,18.237,89.194,0,23.0764,26.4372,252.712,140.535,116.316,10.4345,23.5167,129.167,69.1491,68.5173,103.833,180.006,102.033,91.8844,466.678,58.4888,69.3686,95.0217,34.7471,127.718,61.9212,88.5054,142.451,240.106,0,77.551,79.4585,30.2013,55.6471,130.078,52.5842,14.6644,38.2607,503.662,63.9289,30.2118,30.0963,84.7099,172.123,147.691,25.2867,19.1128,74.2413,200.164,42.9478,3.97689,55.5309,27.9643,234.823,120.184,43.251
"1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid",63.0097,62.714,308.907,28.3744,50.5728,8.41296,0,66.047,24.8839,19.0402,27.2566,197.964,42.9366,26.284,124.372,75.015,55.2298,29.5339,0,116.467,25.9269,38.1745,0,92.272,13.9859,17.024,21.5924,13.3245,58.1956,0,20.0763,0,99.8396,0,19.0002,0,0,47.858,32.7725,31.8716,13.4262,9.80975,73.9552,73.3236,170.208,106.498,64.244,97.6011,19.2308,89.9991,51.7742,97.0359,114.013,0,14.1885,12.9684,19.0166,0,0,27.4695,0,0,0,0,22.1016,19.0649,52.27,0,45.3563,138.82,55.4971,20.8088,0,0,191.841,42.2241,240.424,40.4561,30.1931,60.6054,269.786,130.284,24.7556,0,80.3332,21.8356,30.7882,0,39.8839,38.973,51.3168,123.696,38.7091,0,78.1571,0,0,0,0,35.137,0,0,0,20.657,0,0,31.4336,0,83.284,216.099,23.4179,0,0,154.974,60.1987,254.336,32.4754,59.8809,35.4172,141.294,128.247,86.9142,30.038,9.7653,252.817,28.6466,25.8502,298.871,39.9513,0,42.7873,115.452,24.7889,194.963,0,58.8531,29.8179,0,62.8283,67.2941,38.3166,83.3242,31.297,0,0,15.1662,103.057,191.588,36.572,21.6215,34.5765,98.1557,17.6314,33.4605,56.9787,9.72163,17.9061,15.7519,0,120.042,25.3383,14.1214,20.7304,0
"1-3-7-trimethylurate",873.165,690.634,686.706,348.698,798.689,1182.57,220.943,1232.39,466.765,987.381,471.087,392.733,7288.46,2358.8,55.2227,372.47,254.563,103.409,342.913,244.263,18.4484,859.9,7.69112,923.792,348.694,136.764,273.165,161.027,857.336,32.2331,686.402,19.3179,2287.46,168.074,0,0,227.125,63.3173,322.311,1107.56,241.88,523.946,128.994,1405.93,1024.42,7192.84,135.579,606.394,2827.73,985.293,238.309,450.396,1031.43,0,817.092,565.389,654.208,105.135,43343.5,576.552,597.287,0,37.6157,648.865,341.608,303.816,311.406,2279.48,260.357,865.414,69.5477,1002.28,48.788,910.89,172.946,67.0117,381.457,0,1585.74,257.758,1352.75,997.95,15.581,706.27,715.357,200.898,29.3057,12393.8,543.733,64.128,187.039,188.874,224.001,8088.28,113.465,61.3205,955.475,340.054,244.015,1262.72,348.81,67.2142,329.771,0,0,0,567.767,499.737,252.534,1480.36,45.3423,200.06,999.238,1965.54,115.28,501.2,635.243,784.432,1744.44,26.1289,256.154,151.353,769.422,46.9596,3244.87,14021.7,413.765,4169.42,221.022,908.112,371.88,26.6232,920.582,9.37302,490.852,4941.19,6875.48,422.368,388.781,142.93,1019.58,92.3264,809.324,181.276,998.137,1442.68,1079.55,769.366,799.558,45.4202,870.76,393.397,1698.6,1009.53,1644.45,869.866,383.265,243.77,395.738,164.168,2186.9,132.754,659.85,685.766
"1-methylguanine",17.1701,0.0277991,0.0204992,0,63.307,12.718,288.785,0,21.2633,49.9001,3.83676,17.8705,18.507,0,106.9,0,63.1329,4.34723,798.555,25.1331,137.9,33.0572,59.8704,194.607,5.70012,21.8919,31.6182,0,0,210.651,27.3856,7.35586,34.8549,4.38148,0,38.9298,232.859,32.3375,611.811,0,11.9095,0.0206504,43.0955,82.0621,20.6345,16.4747,880.069,0.0290487,5.81981,107.5,11.4166,234.688,9.55761,95.0857,0,0,0,338.92,87.7309,0,173.466,0,83.8221,824.938,13.1904,0,67.3887,83.8733,33.0104,0,0,43.883,25.2037,78.9617,15.5321,2550.21,0,0.019287,7.36032,0,8.80151,0,299.008,247.195,62.54,8.49914,74.14,0.0927057,0,0,0,0,0,34.9416,15.9556,23.9883,0,88.154,0,213.075,810.953,14.1688,43.2691,0,0,123.18,0,151.321,61.4895,87.9386,0,0,40.9631,8.24314,150.47,14.644,43.23,0,22.0395,18.9558,124.52,295.335,45.7494,21.4797,165.047,39.7306,208.292,190.975,220.543,34.818,122.879,28.7768,54.5553,56.0759,86.0214,214.744,44.7887,326.741,58.1437,9.2849,820.806,110.567,62.8397,13.5412,10.1457,107.615,192.01,0,0,147.538,64.9908,217.711,330.25,0,18.5965,92.0039,21.073,0,120.4,208.771,19.0111,119.421,246.494,71.9812
"1-methylnicotinamide",454.239,103.944,0,0,6.17649,10.087,35.0669,152.784,241.846,149.571,0,0,103.248,16.5426,41.4705,10.7161,9.75797,87.833,46.5837,25.0367,9.65934,21.8451,0,0,79.3948,74.894,79.6285,104.36,328.743,78.5834,105.48,0,78.558,22.6672,28.4246,83.1012,116.516,50.3257,12.0036,114.14,187.095,50.7761,100.86,0,8.8285,71.2631,111.497,395.521,282.815,146.463,295.172,0,146.816,47.4031,12.2295,0,5837.36,28.8935,0,238.045,0,5.90248,21.1918,141.029,239.025,237.192,64.2754,585.403,0,0,128.187,220.011,15.4164,434.423,158.021,140.749,122.152,0,0,49.3714,20.2638,83.5035,29.8365,68.4352,55.15,6.07183,45.8164,7.57735,0,379.731,136.677,25.2956,0,6.91047,12.1299,24.3382,40.5641,74.2023,240.497,81.9742,132.723,16.3497,85.9642,13.2507,0,21.7709,0,308.575,261.05,0,17.7439,0,122.676,0,74.0578,11.0849,98.7811,112.774,0,103.878,217.104,42.2527,354.26,51.4888,171.083,0,56.8908,0,16.6797,211.861,12.6402,0,0,8.8014,12.1108,12.8836,102.54,22.0442,591.377,30.9486,0,14.055,0,37.1816,99.1779,0,82.684,100.193,0,27.1975,194.31,0,230.002,694.116,0,135.398,632.785,33.3766,20.5003,63.4658,0,0,88.2876,267.929
"12.13-diHOME",507.955,162.325,123.417,1027.72,566.753,147.648,4120.85,41.0762,931.189,273.897,2743.15,1342.91,485.21,702.694,904.689,45.3954,433.5,886.264,655.769,286.362,875.593,1152.7,2091.95,2566.18,255.187,392.573,133.254,1008.92,1060.17,226.278,544.664,1454.97,845.412,645.43,453.588,358.898,1301.42,697.1,243.628,2000.35,3459.37,369.122,587.345,294.049,595.671,84.0576,891.985,475.908,1387.24,2180.62,1253.84,1882.82,0,0,1283.45,773.342,1157.82,987.057,182.466,1763.54,320.044,1648.53,244.253,802.304,447.28,423.986,577.656,1555.51,744.081,0,2618.35,910.864,286.637,578.391,172.091,167.172,220.054,438.239,343.175,1793.45,271.505,151.524,6608.61,742.494,1978.23,1124.6,155.616,104.348,303.749,252.974,549.655,181.892,1492.69,207.905,99.6676,654.458,474.014,230.843,107.609,448.107,1265.76,775.657,2797.22,760.887,44.7084,1532.47,481.795,892.487,3024.1,146.296,369.406,69.7476,205.056,69.7883,3702.84,301.148,260.098,1570.53,73.5577,654.015,252.628,1779.4,224.608,170.915,317.881,144.84,285.949,133.031,616.967,210.579,158.892,272.339,648.288,432.95,70.2397,309.759,137.601,480.001,621.586,85.8585,2551.26,482.585,82.4844,45.0663,760.512,1869.6,275.966,64.816,566.07,558.276,701.292,594.786,249.298,147.704,90.2423,306.986,1032.85,263.892,276.599,774.146,1188.53,2601.85,389.19,753.2
"13-docosenoate",311.94,0,31.5585,48.5136,49.7607,43.6943,40.7194,15.2236,0,24.463,0,84.0313,24.9542,18.1762,44.4828,15.563,51.2329,0,0,45.5515,28.1787,16.3222,0,29.5254,0,29.2893,38.856,26.7408,0,0,288.139,0,0,0,0,0,0,50.8614,0,0,0,9.41466,55.7733,10.3777,0,0,0,118.622,48.207,0,0,205.458,10.7156,0,0,9.19694,0,530.563,0,13.7433,0,0,0,27.753,0,0,0,0,0,0,195.133,0,0,0,19.0971,0,0,12.061,105.152,0,20.7191,0,103.168,48.904,83.6927,15.4742,16.9574,32.3757,0,8.04577,38.9087,11066.1,0,51.0551,148.528,0,0,0,0,0,0,16.9685,17.5812,103.925,26.9716,0,15.8543,0,10.5345,35.3356,15.3167,31.3658,0,19.1125,0,21.8726,89.1291,15.7314,24.9396,0,0,69.7612,0,162.377,61.4151,23.0232,0,0,0,0,0,22.5731,77.2682,21.1514,0,74.3747,0,0,13.9126,130.005,10.2023,35.7316,7.73406,6.47951,0,11.5089,0,9.0564,20.9658,51.7434,0,24.416,9.2631,0,0,5.80801,0,163.918,308.373,22.7921,21.6407,0,1066.01,8.01575
"2-aminobutyric acid",356.396,12.3401,791.694,19.8677,265.094,7841.86,15.3182,250.658,341.89,4056.1,843.62,65.8817,10.1573,35.3852,86.0906,2246.22,100.885,989.926,1844.36,4813.04,9038.28,245.529,949.275,527.577,3638.04,177.608,130.138,386.958,184.112,1077.34,285.89,781.206,68.9052,1164.73,823.195,1935.62,35.2663,1064.06,191.646,3167.18,441.255,1494.46,243.75,1906.8,1067.79,70.593,52.2122,404.977,326.785,448.974,368.891,365.638,173.658,298.189,247.143,3288.49,780.887,684.013,732.337,654.821,4349.15,138.908,2264.91,456.449,4087.98,116.754,879.409,449.33,259.563,967.826,1154.79,55.4083,2437.57,1095.98,153.066,130.936,144.498,107.964,15.357,116.576,21.3496,8.50441,45.1887,105.336,142.593,53.6537,5583.68,33.9241,46.0675,120.448,29.4803,12.0516,62.1021,22.7682,52.3295,2132.41,759.271,802.99,212.459,284.876,93.7563,87.1465,153.611,70.1929,15.4093,387.404,24.7285,255.878,2867.9,46.6631,125.658,13.2783,330.389,20.4962,236.74,18.9814,215.811,33.7866,16.0381,518.01,51.0879,717.265,117.967,2096.18,85.7941,80.3255,3084.89,70.8319,20.0608,79.0992,29.8114,12.2099,53.7086,232.796,515.085,892.041,22.0669,194.952,114.619,54.966,1173.06,454.597,94.4172,89.0803,4411.75,195.958,264.003,354.73,1952.86,380.889,517.024,168.758,137.159,309.185,121.682,2127.34,36.5204,368.781,7011.93,102.918,105.317,941.291,84.6731,490.023
"2-deoxyadenosine",20.7759,0,21.0533,0,38.4573,0,0,0,6.61484,18.5239,6.216,17.9945,0,0,20.6862,0,6.5259,8.23837,13.6953,71.5155,27.9163,20.768,10.6363,18.8309,12.7149,35.1493,16.1724,3.56062,15.0792,0,4.20907,57.9307,0,9.91526,16.2921,192.658,17.3156,80.6206,8.28024,39.5517,0,56.7146,0,21.6523,19.117,14.9,9.08497,8.85256,8.28672,15.2764,8.06212,72.152,93.8934,0,7.91868,0,15.2345,0,20.9813,302.062,43.7496,0,70.0558,0,2793.94,7.19866,7.81628,50.3586,88.2213,8.11249,9.14265,20.2407,47.4941,33.5949,13.8502,6.2283,8238.91,11.7623,0,0,0,0,0,0,0,0,0,46.6933,0,0,0,0,0,15.5027,0,21.4508,0,4.48559,0,13.651,18.2259,0,0,0,0,33.2265,0,15.182,10.1177,0,0,0,86.7702,0,5808.34,0,0,0,0,1344.8,3823.74,9.78899,65.9509,195.362,13.3318,67.8222,35.3877,150.704,20.4691,54.4662,725.696,117.673,398.722,111.345,11.3911,31.9733,42.4704,0,19.9766,28.4213,50.5016,60.1466,280.72,5.81749,51.4882,108.304,146.204,6.23161,37.0213,76.6462,47.1065,186.777,66.4581,39.5378,400.138,76.6041,111.625,42.4645,23.0172,50.5077,97.1666,86.9201,171.028,150.636
"2-hydroxy-3-methylpentanoic acid /  leucinic acid",202.812,134.078,3340.93,409.949,1224.01,1117.62,146.085,882.498,1382.11,645.519,518.777,757.059,259.065,369.582,1093.64,1907.53,1773.84,1425.06,194.331,1134.08,8292.87,46.5008,1898.8,1059.05,981.701,56.8718,214.758,510.577,6115.06,1654.54,1080.63,23.6465,876.415,219.393,27.6695,348.068,415.252,334.779,2910.35,1192.9,111.517,253.744,292.744,275.855,342.418,232.901,1136.53,393.584,43.2844,1714.19,101.168,1577.41,139.463,4613.85,812.234,146.927,0,783.85,513.315,987.441,625.114,864.573,1690.73,0,2796.49,0.295502,218.58,140.688,963.308,197.928,90.219,1492.53,2375.19,326.388,536.74,15278.9,146.432,20.1802,498.636,54.0447,975.468,591.722,38.014,1068.89,198.875,869.413,541.236,208.004,455.166,2728.28,1111.66,654.12,294.66,2667.91,138.166,168.122,179.26,11.9373,3318.66,590.527,250.966,298.517,709.921,122.571,382.461,951.284,783.239,1238.26,1899.85,3252.15,664.011,231.082,553.591,642.658,99.2222,578.321,102.37,1305.38,93.6678,117.828,1016.9,521.366,136.845,72.3782,101.135,192.915,62.0885,283.188,839.97,367.029,48.4799,1645,204.755,172.366,115.734,571.659,354.844,1667.88,394.844,670.486,113.547,3258.56,60.9459,11.8099,1341.99,193.076,754.831,141.989,1222.01,704.49,406.797,435.479,225.521,42.7708,383.626,519.211,158.699,103.159,6530.4,1603.43,725.578,961.179,101.083,511.425
