"","Validation.UMCG8089650","rownames"
"Monoglobus",0.000797065,"Monoglobus"
"Marvinbryantia",0.000311107,"Marvinbryantia"
"Alloprevotella",0.000374999,"Alloprevotella"
"Eubacterium",0.000265507,"Eubacterium"
"Veillonella",0.007326016,"Veillonella"
"Desulfovibrio",0.000213658,"Desulfovibrio"
"Gemmiger",0.009246243,"Gemmiger"
"Flavonifractor",0.00564023,"Flavonifractor"
"Coprococcus",0.00148386,"Coprococcus"
"Rothia",0.000257554,"Rothia"
"Faecalibacterium",0.041535147,"Faecalibacterium"
"Oribacterium",0.000133404,"Oribacterium"
"Butyrivibrio",8.42e-05,"Butyrivibrio"
"Alistipes",0.016821304,"Alistipes"
"Enterococcus",0.000182942,"Enterococcus"
"Lactobacillus",0.006656906,"Lactobacillus"
"Dorea",0.002159284,"Dorea"
"Akkermansia",0.011151582,"Akkermansia"
"Slackia",1.82e-05,"Slackia"
"Oscillibacter",1.64e-05,"Oscillibacter"
"Bilophila",0.001803867,"Bilophila"
"Acidaminococcus",0.004067377,"Acidaminococcus"
"Streptococcus",0.02429084,"Streptococcus"
"Lachnoclostridium",2.1e-05,"Lachnoclostridium"
"Pseudoflavonifractor",0.000136978,"Pseudoflavonifractor"
"Fusicatenibacter",0.013657431,"Fusicatenibacter"
"Oxalobacter",0.000184818,"Oxalobacter"
"Collinsella",0.01996567,"Collinsella"
"Blautia",0.01575975,"Blautia"
"Klebsiella",0.009953312,"Klebsiella"
"Lachnobacterium",5.67e-06,"Lachnobacterium"
"Agathobacter",0.043740567,"Agathobacter"
"Odoribacter",0.001871505,"Odoribacter"
"Prevotella",0.016075984,"Prevotella"
"Pseudobutyrivibrio",3.66e-05,"Pseudobutyrivibrio"
"Ruminococcus",0.000222782,"Ruminococcus"
"Roseburia",0.008548201,"Roseburia"
"Phascolarctobacterium",0.001534458,"Phascolarctobacterium"
"Barnesiella",0.001456947,"Barnesiella"
"Mitsuokella",4.81e-06,"Mitsuokella"
